word;Happiness;Anger;Sadness;Fear;Disgust
historia;3.000;2.000;2.692;2.308;2.154
hit;3.423;1.808;1.538;1.346;1.769
hobby;6.259;1.259;1.148;1.074;1.037
hodowla;2.481;1.630;1.778;1.741;1.630
hojny;4.923;1.346;1.269;1.500;1.154
holocaust;1.000;5.885;5.808;5.769;5.923
homar;2.577;1.385;1.577;2.077;2.615
honor;4.963;1.667;1.963;1.852;1.296
horda;1.462;2.769;2.000;3.885;2.885
hormonalny;2.077;2.077;2.192;2.962;2.346
horoskop;1.654;2.692;2.231;2.115;2.731
horror;2.500;2.077;2.346;4.500;2.538
hotelowy;3.731;1.423;1.538;1.538;1.500
humanitarny;4.115;1.308;1.962;1.615;1.423
humor;5.615;1.231;1.500;1.462;1.077
humorzasty;1.500;3.308;2.385;2.231;2.269
huragan;1.115;3.269;3.846;4.654;2.577
huśtawka;4.808;1.577;1.731;2.077;1.385
hymn;4.731;1.308;1.731;1.462;1.269
idealny;4.962;1.885;1.615;2.231;1.615
ideowy;2.692;2.154;1.731;2.192;2.462
idiota;1.308;4.269;3.077;2.923;3.423
idylla;5.115;1.231;1.500;1.423;1.231
igloo;4.000;1.000;1.346;1.962;1.077
igła;1.577;2.192;2.154;3.731;3.000
ilość;2.038;1.385;1.308;1.423;1.231
imię;3.154;1.654;1.577;1.538;1.423
impet;2.423;2.615;1.577;2.500;1.346
importować;2.808;1.769;1.462;1.962;1.462
impreza;4.923;1.462;1.731;2.462;1.846
impuls;3.115;1.885;1.538;2.231;1.423
incydent;1.519;2.778;2.815;3.148;1.741
informować;2.731;1.769;1.692;2.346;1.346
inicjatywa;4.148;1.852;1.704;2.519;1.519
instrument;4.846;1.692;1.462;1.346;1.308
instynktowny;3.704;1.444;1.222;2.222;1.370
instytucja;1.889;2.333;2.037;2.852;2.259
inteligentny;6.115;1.346;1.423;1.385;1.077
intensywny;3.741;1.778;1.704;1.926;1.778
interesant;1.885;2.808;2.000;2.577;2.731
interesujący;4.115;1.500;1.500;1.885;1.462
interpretować;2.462;2.385;1.769;1.962;1.577
intonować;2.346;1.385;1.231;1.577;1.462
intryga;1.769;4.000;3.038;3.962;3.154
intymny;3.923;1.462;1.462;2.500;1.731
irytować;1.077;5.231;3.308;2.115;3.269
iskra;3.615;1.846;1.808;3.115;1.615
Islam;1.963;3.074;3.111;3.741;2.593
istnieć;4.885;2.038;2.385;2.808;1.962
iść;3.500;1.423;1.462;1.385;1.115
izba;2.308;1.923;2.038;2.154;2.346
izdebka;2.346;1.846;2.308;2.038;1.769
jabłkowy;4.538;1.423;1.654;1.423;1.577
jacht;4.231;1.423;1.462;2.154;1.231
jakość;4.000;1.769;1.500;1.923;1.423
jałmużna;1.808;2.885;3.000;2.000;2.885
jama;1.962;1.731;1.808;2.885;2.154
jamnik;3.593;1.889;1.333;1.333;1.593
Japonia;3.259;1.667;1.593;2.074;1.778
jasność;4.889;1.630;1.630;1.259;1.407
jaszczurka;2.577;1.308;1.269;2.192;2.308
jazda;4.519;1.333;1.222;2.778;1.111
jazz;3.346;1.615;1.923;1.385;1.462
jąkała;1.704;2.185;3.296;2.185;2.185
jąkanie;1.407;2.889;3.111;2.630;1.815
jechać;4.615;1.308;1.500;2.308;1.385
jedność;4.462;1.731;1.808;1.731;1.308
jedwabny;4.815;1.000;1.000;1.074;1.000
jeleń;2.885;1.192;1.346;1.846;1.192
jelito;1.731;1.577;1.538;2.231;3.423
jesienny;2.885;2.000;3.846;2.077;1.808
jeść;5.500;1.538;1.577;1.538;1.346
jezioro;5.038;1.077;1.577;2.038;1.308
jeździecki;2.577;1.269;1.385;1.731;1.192
jeż;4.077;1.423;1.615;1.385;1.385
jęczeć;2.926;2.926;2.778;2.889;2.296
język;3.000;1.192;1.385;1.654;1.500
językowy;2.231;2.385;2.000;1.962;2.038
jodła;3.577;1.154;1.308;1.115;1.154
kabel;1.885;3.077;2.269;2.808;2.538
kaczka;3.154;1.346;1.308;1.346;1.692
kaganiec;1.556;2.741;3.037;3.296;2.593
kakao;5.192;1.192;1.346;1.192;1.346
kaktus;3.259;1.852;1.407;1.667;1.815
kalarepa;2.038;1.346;1.500;1.385;2.115
kalkulować;2.444;2.185;1.519;2.185;1.481
kaloryczny;2.962;2.577;2.423;2.654;2.038
kamera;3.385;1.846;1.731;2.654;1.769
kamienica;2.615;1.462;2.000;1.923;1.692
kamienny;1.923;1.923;1.885;2.038;1.423
kamizelka;1.962;1.308;1.769;1.346;1.577
kamuflować;1.692;1.538;2.000;2.846;1.423
kanał;1.778;1.667;2.296;2.963;2.889
kanapka;4.148;1.407;1.296;1.444;1.333
kanaryjski;4.778;1.222;1.185;1.333;1.111
kanclerz;1.808;2.154;2.038;2.231;1.846
kandydat;3.115;1.846;1.538;1.923;1.423
kandydatura;2.704;1.963;1.815;2.444;1.889
kangur;3.556;1.296;1.259;1.852;1.333
kanon;2.269;1.731;1.500;1.577;1.462
kapitan;3.593;1.593;1.481;1.741;1.185
kapitulować;1.346;3.846;4.115;3.654;2.615
kaprys;2.269;2.885;1.692;1.692;1.962
kara;1.269;4.385;4.462;4.923;3.423
karać;1.296;4.074;4.074;4.296;3.185
karafka;3.259;1.222;1.407;1.296;1.074
karalny;1.231;3.577;3.423;4.500;2.577
karaluch;1.231;3.269;2.846;3.885;5.385
karcić;1.556;3.481;3.444;3.556;2.926
kariera;5.185;2.259;1.926;3.481;1.481
karnawałowy;4.808;1.269;1.423;1.308;1.269
kartka;2.577;1.231;1.731;1.269;1.115
karton;2.038;1.846;1.846;1.846;1.615
kartoteka;1.462;2.462;2.231;3.500;2.654
kasa;4.519;2.111;1.704;2.148;1.630
kaseta;3.269;1.231;1.769;1.308;1.231
kasyno;2.615;3.154;2.423;3.615;3.231
kasztan;4.077;1.269;1.577;1.269;1.269
katafalk;1.500;1.846;2.692;2.385;2.038
katastrofa;1.037;3.593;5.111;5.333;2.704
katować;1.115;4.885;4.654;5.231;5.231
katusze;1.077;3.692;4.269;4.692;3.846
kawa;4.346;1.269;1.385;1.346;1.538
kawowy;4.077;1.385;1.154;1.077;1.346
kazanie;1.500;3.769;2.154;2.231;2.692
kaźń;1.077;3.308;3.654;4.154;3.808
kąpielowy;3.423;1.346;1.615;1.538;1.385
kciuk;2.500;1.346;1.385;1.538;1.654
kicz;1.852;2.926;1.630;1.333;2.963
kiełbasa;2.731;1.731;1.615;1.423;2.115
kiepski;1.115;3.769;3.385;2.577;3.000
kierować;4.500;1.692;1.654;2.577;1.308
kierowca;3.654;2.423;1.885;3.385;1.577
kierownica;2.769;1.423;1.500;2.038;1.154
kierownik;2.769;2.808;2.423;3.038;2.154
kiosk;2.185;1.556;1.519;1.370;1.481
klacz;3.385;1.115;1.192;1.615;1.192
klakson;1.692;3.808;1.731;2.692;2.308
klamka;1.630;1.407;1.296;2.037;1.185
klasa;3.462;1.962;1.962;2.077;1.500
klasyczny;3.308;1.615;1.885;1.538;1.462
klasztor;2.192;1.500;2.538;1.885;1.538
klatka;1.308;3.269;3.500;4.000;3.038
klej;2.154;1.846;1.423;2.038;2.077
klejnot;4.962;1.308;1.538;1.462;1.115
klient;2.692;2.808;1.962;2.538;2.154
klimatyczny;4.385;1.346;1.769;1.654;1.231
klinika;2.407;1.963;3.407;3.926;2.481
klon;1.885;1.577;2.038;2.462;2.077
kładka;3.077;1.385;1.192;2.385;1.385
kłamać;1.654;4.615;3.885;3.846;4.308
kłamstwo;1.269;4.231;3.923;3.808;4.500
kłaść;2.654;1.500;1.731;1.577;1.231
kłótnia;1.308;5.115;4.115;3.846;2.577
kłuć;1.538;2.654;2.077;3.577;2.885
knajpa;3.808;1.462;1.538;2.038;1.923
knebel;1.615;3.538;2.923;4.462;3.231
kneblować;1.308;4.385;3.500;5.115;3.808
koalicyjny;2.500;2.154;1.269;2.154;1.692
kobiecy;4.259;1.667;1.593;1.667;1.407
kobieta;5.077;1.923;2.269;2.192;1.500
kobra;1.778;2.074;1.704;3.704;3.333
kochać;6.596;1.923;2.731;3.154;1.308
kochanek;3.148;2.815;3.000;3.333;2.444
kochanka;2.704;3.704;3.481;3.074;3.259
kochany;5.962;1.308;1.423;1.654;1.115
kogut;1.885;1.346;1.346;1.769;1.692
kolebka;2.741;1.481;1.444;1.148;1.296
kolega;4.962;1.615;1.423;1.500;1.192
kolejka;2.000;3.731;2.769;2.115;2.308
kolor;4.038;1.231;1.308;1.115;1.154
kolorowy;5.222;1.370;1.370;1.333;1.296
koło;2.808;1.654;1.577;1.808;1.346
kołysać;3.556;1.481;1.778;1.926;1.630
kołyska;4.259;1.667;1.667;1.963;1.556
komar;1.192;4.769;1.577;2.038;3.962
kometa;3.704;1.370;1.444;1.963;1.259
komfort;5.519;1.148;1.185;1.222;1.296
komiczny;4.538;2.154;2.077;1.654;1.462
kominek;4.923;1.269;2.077;1.769;1.192
komisja;1.846;2.615;2.269;3.692;1.769
komitet;1.962;2.346;1.808;2.192;2.308
komizm;4.333;1.741;1.407;1.407;1.296
komoda;2.222;1.519;1.519;1.704;1.481
kompan;4.769;1.462;1.500;1.500;1.115
kompas;3.000;1.346;1.269;2.038;1.269
kompromitujący;1.115;4.692;4.962;4.692;4.231
komunistyczny;1.500;4.385;3.731;3.769;4.231
konać;1.462;3.154;4.885;4.769;3.346
koncentracyjny;1.593;3.630;4.333;4.222;4.037
koncert;5.192;1.423;1.654;1.731;1.423
kondolencje;1.407;2.741;5.704;3.889;2.222
konflikt;1.154;4.538;4.769;4.654;3.385
koniak;3.074;1.815;1.926;1.815;2.556
koniczyna;4.731;1.077;1.038;1.000;1.000
koniec;2.889;2.111;3.000;3.074;1.333
konkurencyjny;2.231;3.500;2.192;3.192;2.346
konopie;3.296;2.000;2.111;2.111;2.111
konsekwentny;4.346;1.577;1.615;2.231;1.423
konstytucja;2.962;1.731;1.769;2.077;1.500
konsumpcyjny;2.115;2.923;2.385;2.346;2.962
kontakt;3.846;1.615;1.577;2.692;1.346
konto;3.038;1.962;1.538;2.577;1.192
kontrolować;2.538;3.577;3.000;2.923;2.462
kontynuować;3.346;1.731;1.692;2.077;1.308
koń;3.846;1.192;1.423;1.846;1.346
kończyć;3.308;2.192;3.538;3.538;1.269
kończyna;2.962;1.462;1.577;1.923;1.885
kopalnia;2.115;1.154;1.692;3.192;1.615
koparka;2.269;1.423;1.731;1.846;1.577
kopia;1.769;2.423;1.846;1.808;1.808
kopniak;1.846;3.769;2.192;3.000;2.500
kora;3.192;1.308;1.385;1.192;1.192
Koran;1.923;2.000;1.808;2.654;1.923
korona;3.846;1.538;1.500;1.846;1.231
korowód;2.000;1.769;1.846;2.000;1.692
kos;2.333;1.111;1.185;1.074;1.074
kosa;1.556;2.370;1.963;3.630;1.963
kosmetyczny;3.370;1.444;1.296;1.519;1.481
kostka;2.500;1.308;1.231;1.385;1.385
kosz;2.407;1.667;1.667;1.556;2.148
koszmar;1.269;3.269;3.654;5.346;3.615
kosztować;2.000;2.926;2.556;2.037;1.519
koszula;3.296;1.333;1.370;1.407;1.333
kościół;2.846;2.923;2.538;2.654;2.308
kość;1.923;1.385;1.500;1.962;1.808
kot;4.385;1.654;1.462;1.577;1.654
kotwica;3.154;1.346;1.808;2.077;1.654
kowadło;2.308;1.462;1.423;1.692;1.308
koza;2.593;1.444;1.556;1.889;1.889
kozaki;2.192;2.000;1.692;1.577;2.077
kozica;3.769;1.115;1.192;1.500;1.269
kpić;1.444;5.148;3.444;2.963;3.333
krajobraz;5.741;1.148;1.333;1.333;1.074
kraść;1.500;4.385;4.038;3.885;3.808
krata;1.385;3.000;3.385;4.077;2.808
krawat;3.222;1.444;1.370;1.333;1.407
krawędź;1.769;2.077;1.615;3.423;1.615
kreatywny;5.000;1.692;1.500;1.808;1.192
kreda;1.923;1.808;1.577;1.923;2.192
kredyt;1.462;3.731;3.577;4.308;3.077
kres;2.000;2.923;4.077;4.038;2.077
krew;1.808;2.077;2.385;3.423;3.346
krewny;3.556;2.556;2.259;1.889;1.852
kręgiel;3.852;1.333;1.370;1.778;1.185
krępy;1.885;1.538;1.346;1.846;1.692
krnąbrny;1.423;2.923;1.692;1.808;2.269
krok;3.538;1.423;1.385;1.962;1.192
krokodyl;2.481;1.889;2.259;3.370;2.185
krokus;4.269;1.077;1.154;1.154;1.077
kropla;3.269;1.385;1.769;1.269;1.154
krucyfiks;1.692;2.115;2.962;3.308;2.269
kruk;2.000;1.731;2.154;2.538;1.923
krwawy;1.423;3.615;3.885;5.000;3.692
kryminał;2.308;2.269;2.462;3.500;2.077
krytyczny;1.423;3.269;3.038;3.769;2.192
krytykować;1.423;4.154;3.615;3.500;2.692
kryzys;1.269;4.269;4.000;4.731;3.077
krzepki;3.926;1.407;1.296;1.704;1.148
krzesło;2.885;1.462;1.385;1.231;1.115
krzyczeć;1.846;4.500;3.462;4.538;2.731
krzyk;1.593;4.407;3.630;5.963;2.852
krzykliwy;2.259;3.926;2.259;2.444;2.852
krzywdzić;1.346;5.615;5.346;5.077;4.385
krzywoprzysięstwo;1.222;3.815;3.407;3.407;4.259
krzyż;2.154;2.577;4.038;3.462;2.192
ksiądz;2.115;2.885;2.615;2.692;2.115
książka;4.269;1.769;1.962;1.462;1.462
księżniczka;5.000;1.654;1.731;1.538;1.385
księżyc;5.000;1.308;2.731;1.654;1.115
kształcić;5.185;1.556;1.296;2.185;1.074
kształtujący;3.808;1.577;1.500;1.769;1.269
kubek;2.846;1.192;1.192;1.038;1.077
kuchenka;3.115;1.500;1.500;1.692;1.692
kucyk;4.269;1.500;1.577;1.538;1.385
kufer;3.778;1.333;1.519;1.519;1.333
kukiełka;2.231;2.385;2.462;2.269;2.346
kukurydza;4.077;1.308;1.192;1.269;1.385
kula;1.808;2.000;1.962;2.731;2.038
kulminacja;3.481;1.741;1.593;2.407;1.667
kult;3.000;2.346;2.000;3.115;2.615
kulturalny;4.500;1.192;1.154;1.269;1.192
kupować;4.423;2.692;2.115;2.115;1.846
kura;2.963;1.407;1.407;1.630;2.370
kurator;1.462;2.962;2.846;4.077;2.192
kurort;4.615;1.308;1.346;1.654;1.346
kurtka;3.296;1.185;1.037;1.074;1.037
kurwa;2.462;4.923;3.077;3.269;3.846
kurz;1.423;3.269;2.923;2.038;3.308
kusić;3.538;1.923;1.615;2.769;1.500
kuszący;4.000;1.500;1.654;2.769;1.500
kwaśny;2.423;1.731;1.538;1.462;2.346
kwiat;5.385;1.154;1.423;1.269;1.154
kwota;2.615;1.462;1.615;2.038;1.231
laboratoryjny;2.808;1.192;1.385;2.462;1.769
lada;1.852;1.519;1.593;1.556;1.556
lalka;2.963;1.222;1.481;1.556;1.407
lamentować;1.077;3.731;3.846;2.577;3.808
lampa;3.538;1.577;1.615;1.731;1.346
lampart;3.296;1.889;1.704;3.333;1.444
larwa;1.231;2.269;1.769;3.423;4.731
las;5.308;1.269;1.538;2.808;1.231
latać;5.346;1.269;1.538;2.885;1.154
latarnia;3.115;1.577;1.962;2.192;1.692
lato;5.808;1.231;1.231;1.115;1.192
latorośl;4.154;1.500;1.423;1.692;1.500
laur;4.731;1.269;1.231;1.231;1.115
lawina;1.423;2.615;3.308;5.269;2.846
leczenie;2.556;2.667;3.667;4.074;2.556
leczyć;3.346;1.385;1.962;2.962;1.615
lekarz;3.148;2.926;2.630;3.259;2.222
lekcja;2.481;1.815;2.000;2.370;1.926
lekkomyślność;1.692;3.769;3.231;3.192;2.385
lekkomyślny;1.593;4.185;2.667;3.000;2.593
lekkość;5.407;1.111;1.074;1.185;1.037
leksykon;2.423;1.462;1.385;1.269;1.462
lemoniada;5.037;1.259;1.333;1.259;1.333
lew;3.346;1.577;1.577;3.192;1.423
lewitować;4.111;1.111;1.148;2.370;1.037
leżanka;4.115;1.385;1.808;1.654;1.385
leżeć;4.538;1.654;1.731;1.654;1.308
lęk;1.115;2.462;3.577;5.769;3.038
liberalny;4.222;2.185;1.556;2.000;1.852
licencja;2.962;1.769;1.577;2.077;1.692
liczba;2.926;1.778;1.667;1.630;1.407
liczny;3.192;1.500;1.308;2.154;1.423
liczyć;2.885;1.923;1.538;2.038;1.500
lilia;4.654;1.077;2.115;1.500;1.423
limit;1.538;3.500;3.192;3.192;1.962
lina;2.462;1.577;1.731;2.385;1.385
linia;2.333;1.148;1.259;1.222;1.074
linijka;1.885;1.731;1.462;1.462;1.577
lipa;3.074;2.481;2.259;2.000;1.593
liryka;4.077;1.423;2.808;1.538;1.269
lis;3.269;1.962;1.385;2.500;1.654
list;4.111;2.111;2.444;2.370;1.556
lista;2.308;1.654;1.500;2.269;1.462
listopadowy;2.000;2.077;4.000;2.154;2.500
litania;1.462;2.346;2.962;1.808;2.269
literatura;3.769;1.500;1.885;1.577;1.615
litość;2.000;2.815;4.111;2.815;2.333
litr;3.115;1.462;1.423;2.038;1.577
lizak;4.889;1.222;1.333;1.185;1.037
loch;1.385;3.077;3.962;4.923;4.038
logiczny;4.038;1.769;1.423;1.462;1.385
logika;3.852;1.556;1.556;1.556;1.519
lojalny;5.852;1.185;1.185;1.593;1.148
lokalizacja;1.808;1.154;1.192;1.269;1.231
los;2.808;1.962;2.577;2.846;1.500
loteria;4.000;2.148;1.704;2.370;1.519
lotnisko;3.926;1.259;1.704;2.704;1.037
lotos;3.615;1.269;1.500;1.269;1.269
lotto;4.115;2.346;2.000;1.731;1.808
lód;3.462;1.615;2.000;2.269;1.385
lśnić;3.846;1.308;1.192;1.308;1.115
lubić;5.923;1.462;1.500;1.385;1.077
ludobójstwo;1.075;5.283;5.623;5.472;5.623
ludzie;3.704;2.741;2.037;2.852;1.889
ludzki;3.654;1.462;1.923;1.654;1.346
lufcik;2.308;1.385;1.308;1.462;1.423
lukratywny;2.962;1.577;1.346;1.500;1.308
luksusowy;5.269;1.885;1.769;1.538;1.692
lupa;2.778;1.296;1.333;1.296;1.148
lustro;3.231;2.154;2.192;2.077;1.615
lustrować;1.667;3.074;2.074;2.963;2.370
łabędzi;3.667;1.222;1.741;1.444;1.222
łaciński;2.269;1.692;1.731;1.462;1.615
ład;3.962;1.346;1.231;1.500;1.231
ładny;5.741;1.556;1.556;1.481;1.444
ładunek;1.846;1.385;1.385;2.231;1.308
łagodny;4.423;1.385;1.654;1.077;1.346
łagodzić;5.000;1.308;1.308;1.308;1.115
łajdak;1.185;4.815;3.852;3.889;4.815
łaknąć;2.731;1.462;1.885;1.654;1.769
łamać;2.038;3.077;2.923;4.154;2.692
łańcuch;1.385;2.231;2.462;3.692;2.154
łapa;3.308;1.577;1.423;1.654;1.500
łapać;3.074;2.111;1.444;2.333;1.630
łaska;3.808;2.346;1.962;2.038;2.154
łazienka;3.308;1.154;1.154;1.423;1.385
Łazienki;4.704;1.111;1.259;1.074;1.222
łączyć;3.815;1.667;1.926;1.778;1.667
łąka;5.462;1.077;1.231;1.154;1.231
łgać;1.115;4.577;3.500;2.731;5.038
łopian;2.346;1.269;1.269;1.269;1.346
łoś;4.077;1.462;1.538;2.000;1.308
łotr;1.385;3.577;3.115;3.731;3.269
łódź;3.731;1.154;1.577;2.269;1.269
łóżko;5.269;1.192;1.692;1.577;1.192
łuk;2.654;1.577;1.346;2.308;1.308
łyżka;2.444;1.370;1.259;1.185;1.074
łza;1.852;2.741;5.074;3.444;1.815
maczuga;2.370;2.185;1.333;2.593;1.259
Madonna;3.385;1.769;1.731;1.577;1.423
mafia;1.231;3.577;3.077;4.846;3.115
magazynować;2.269;2.038;1.962;1.923;1.769
magia;4.192;1.654;1.731;2.885;1.731
magiczny;4.962;1.231;1.308;2.077;1.308
magik;3.577;1.385;1.654;2.077;1.538
magma;1.846;1.385;1.500;2.615;1.692
magnes;2.192;1.346;1.115;1.115;1.038
maj;5.577;1.308;1.923;1.346;1.308
majętny;4.385;2.192;2.269;2.692;2.000
makabryczny;1.269;2.654;3.615;4.538;3.885
makaron;4.370;1.222;1.111;1.148;1.037
makler;2.519;2.111;1.593;2.370;1.667
makowy;3.154;1.115;1.115;1.154;1.115
maksimum;4.519;1.815;1.667;1.889;1.593
maksymalny;4.231;1.885;1.538;2.000;1.577
makulatura;2.000;1.593;1.222;1.333;1.444
malaria;1.231;3.462;4.346;5.346;5.038
malarz;3.370;1.556;1.815;1.259;1.296
malinowy;4.923;1.077;1.231;1.077;1.192
malkontent;1.462;2.846;1.923;1.692;2.231
malować;4.654;1.500;1.731;1.308;1.269
małomówny;1.704;2.704;3.000;2.741;1.667
małpa;3.407;1.370;1.185;1.963;1.778
mały;2.538;1.577;1.769;1.500;1.385
małżeński;4.731;1.731;2.000;2.115;1.308
małżonek;5.269;1.885;2.000;2.038;1.577
mama;6.333;1.741;2.037;1.630;1.148
mamrotać;1.423;2.962;2.308;2.308;1.923
mamusia;5.308;2.192;1.846;1.269;1.192
manager;3.296;2.148;1.963;2.185;1.630
mango;4.731;1.385;1.192;1.231;1.192
maniakalny;1.731;2.500;2.192;4.154;2.769
manko;1.385;2.269;2.269;2.038;1.846
manowce;1.962;3.346;2.846;3.308;2.192
mapa;3.846;1.500;1.462;1.692;1.231
marchwiowy;3.231;1.192;1.115;1.154;1.538
marka;2.231;1.538;1.308;1.231;1.615
marksista;1.308;2.346;1.692;1.923;2.577
marny;1.154;2.423;3.538;1.923;2.808
martwić;1.346;3.154;5.154;4.500;2.385
martwy;1.269;2.846;5.462;5.115;3.538
marzyć;5.630;1.370;2.037;1.778;1.037
masa;1.962;2.115;2.038;1.731;2.385
masakra;1.192;4.231;4.308;4.808;3.462
masaż;5.500;1.192;1.077;1.192;1.192
maska;2.111;2.444;2.037;2.741;1.963
maskować;1.704;2.667;2.481;2.148;2.259
masywny;2.077;1.769;1.577;1.808;1.769
maszkara;1.370;2.407;3.000;3.222;3.926
maść;2.308;1.692;1.808;1.885;2.231
maślany;3.000;1.500;1.231;1.231;2.192
mata;2.926;1.296;1.185;1.444;1.185
materac;3.615;1.423;1.654;1.423;1.615
matka;5.077;1.769;2.192;2.077;1.192
matowy;2.815;1.444;1.704;1.370;1.519
matura;4.074;2.815;2.630;4.074;2.185
mądrość;4.615;1.462;2.115;1.692;1.423
mdłości;1.192;3.000;3.500;4.308;4.654
mech;3.296;1.333;1.519;1.333;1.593
mechaniczny;2.222;1.630;1.778;2.407;1.778
medal;5.538;1.500;1.346;1.115;1.000
medyczny;2.500;2.077;1.923;3.385;2.538
mefisto;1.846;2.192;2.192;2.923;2.346
melancholia;1.885;2.462;5.000;3.038;1.885
melodramat;2.148;2.185;3.667;2.222;1.963
melodyjny;5.231;1.154;1.538;1.000;1.000
melon;4.346;1.423;1.231;1.154;1.077
mentor;3.923;1.654;1.731;1.808;1.654
metalowy;1.731;1.769;1.769;1.962;1.577
metoda;2.808;1.731;1.538;1.923;1.462
metr;1.692;1.154;1.154;1.154;1.077
mewa;3.692;1.846;2.000;1.423;1.462
męczarnia;1.000;4.231;4.769;4.654;3.538
męczyć;1.741;3.519;3.222;2.741;2.778
męka;1.077;3.538;4.615;4.308;3.462
mężczyzna;4.654;2.538;2.962;2.808;1.462
mglisty;2.444;2.000;2.519;3.000;1.741
mgła;1.808;2.192;3.308;3.346;2.000
miecz;3.037;2.444;1.963;2.778;2.111
miedziany;2.346;1.385;1.423;1.423;1.462
miejsce;3.481;1.556;1.481;1.778;1.407
miesiąc;2.519;1.667;1.741;1.667;1.259
mieszkać;4.889;1.519;1.519;1.704;1.000
mieszkanie;4.231;1.500;1.692;1.923;1.115
miękki;3.462;1.923;1.692;1.692;2.231
mięsień;3.077;1.462;1.308;1.538;1.731
mięso;3.852;1.481;1.556;1.407;1.852
mikrofon;2.808;1.423;1.462;2.731;1.692
milczeć;2.538;2.385;3.115;2.692;1.731
milicja;2.077;3.923;3.192;3.462;3.846
milion;5.154;1.269;1.500;1.808;1.269
miłostka;3.704;1.926;1.815;1.963;1.593
miłość;6.192;2.077;2.500;2.808;1.269
miły;5.385;1.385;1.500;1.269;1.269
mimika;3.154;2.077;1.769;1.846;1.692
mimoza;1.808;1.769;1.538;1.423;1.577
mina;3.423;2.462;2.692;2.654;1.923
minigolf;3.346;1.615;1.192;1.423;1.154
minimalny;1.852;1.741;1.926;1.815;1.519
minimum;2.654;2.308;2.192;2.154;1.346
miniówka;3.815;1.519;1.370;1.407;1.926
minister;1.889;3.000;1.963;1.926;2.741
minus;1.444;2.333;2.741;2.222;1.630
minuta;2.654;2.231;2.038;2.308;1.500
miotła;1.769;1.692;1.385;1.231;1.538
miód;4.808;1.115;1.269;1.154;1.077
misja;3.962;1.769;1.538;2.769;1.308
mistrz;5.000;1.556;1.444;1.481;1.407
mistyczny;3.444;1.444;1.407;2.037;1.296
mistyka;3.231;1.923;2.231;2.500;2.115
miś;5.192;1.077;1.577;1.423;1.000
mit;2.308;2.038;2.269;1.885;1.577
mleczny;3.346;1.808;1.538;1.654;1.731
młodzieżowy;3.538;1.846;1.500;1.385;1.308
młotek;2.593;2.222;1.481;1.926;1.370
mniejszy;1.846;1.962;2.115;1.731;1.269
mocarstwo;2.630;1.852;1.778;3.111;1.852
moda;2.654;2.577;1.577;1.462;2.423
monarcha;2.077;2.769;2.423;3.269;2.731
monogamiczny;3.962;1.577;1.577;2.000;1.308
monolog;2.269;2.231;2.346;1.885;1.846
monopolowy;3.000;1.385;1.808;1.385;1.731
monotonny;1.269;3.538;3.731;2.769;2.538
monstrum;1.519;2.333;2.407;4.148;3.370
montować;3.192;2.346;1.500;1.846;2.038
moralista;1.808;3.615;2.115;2.231;2.577
moralny;4.308;1.692;1.769;1.846;1.308
mord;1.259;5.222;5.222;5.259;5.222
morderstwo;1.222;4.870;5.389;5.981;4.963
mordować;1.231;5.038;4.808;5.538;5.231
morze;5.346;1.615;2.269;2.885;1.269
most;2.923;1.231;1.269;2.385;1.308
motłoch;1.192;4.115;1.962;3.077;3.769
motocykl;3.615;1.808;1.615;3.231;1.692
motorower;3.333;1.741;1.370;1.963;1.556
motto;3.731;1.615;1.577;1.731;1.577
motywować;4.962;1.923;1.615;1.923;1.231
mowa;4.296;2.259;2.000;2.148;1.630
moździerz;1.538;1.923;2.192;2.615;2.308
móc;4.923;1.462;1.462;2.000;1.115
mól;1.154;3.577;2.385;2.462;3.769
mówca;2.667;1.852;1.593;2.407;1.556
mówić;3.741;1.889;1.704;2.259;1.370
mózg;4.296;1.444;1.296;2.296;1.519
mucha;1.346;3.385;1.538;1.731;3.346
mumia;1.846;1.385;1.500;2.654;2.269
mur;1.667;2.593;2.185;2.593;1.741
murzyn;1.692;1.577;1.308;1.462;1.615
murzynka;3.556;1.667;1.481;1.630;1.704
musical;3.769;1.769;1.500;1.385;1.538
musieć;1.269;3.808;2.538;2.308;2.615
muszla;3.500;1.269;1.769;1.462;1.269
mutacja;1.885;2.654;2.192;2.846;2.846
muzyk;4.769;1.692;2.077;1.115;1.346
muzyka;6.077;1.654;2.385;1.385;1.231
mydliny;2.885;1.346;1.615;1.385;2.269
mydło;3.462;1.462;1.538;1.346;1.731
mysi;1.889;2.000;1.926;2.074;2.889
mysz;2.407;1.852;1.778;2.852;3.370
myśl;4.038;1.692;2.154;2.077;1.423
myśleć;4.741;1.963;1.741;1.667;1.556
myśliciel;3.231;1.538;2.615;2.038;1.538
nabytek;4.556;1.667;1.667;1.556;1.444
nabywać;4.500;1.731;1.269;1.808;1.308
naciągać;1.852;3.963;2.741;3.037;3.370
nacinać;1.423;2.615;2.615;3.731;2.769
naciskać;1.500;3.846;2.692;3.269;2.731
nadawca;2.308;1.462;1.538;1.692;1.269
nadepnąć;1.385;3.231;2.615;2.346;2.308
nadmorski;4.852;1.370;1.704;1.556;1.333
nadzieja;4.769;1.692;2.654;2.577;1.038
nadzorca;1.577;2.192;1.769;2.462;2.154
nagana;1.269;3.423;3.731;3.769;1.769
nagi;3.154;1.962;2.192;2.654;2.115
